block,date,ndvi,kc,eto,irrigation_mm,irrigation_minutes,confidence,efficiency,rain_mm
D2_Bay_10,2025-04-22,0.8357985019683838,0.944,1.97,1.96,23.5,100,0.95,0
D2_Bay_11,2025-04-22,0.8378943800926208,0.944,1.97,1.96,23.5,100,0.95,0
D2_Bay_12,2025-04-22,0.8455773591995239,0.941,1.97,1.95,23.4,100,0.95,0
D2_Bay_13,2025-04-22,0.8323220014572144,0.919,1.97,1.91,22.9,100,0.95,0
D2_Bay_14,2025-04-22,0.8162957429885864,0.892,1.97,1.85,22.2,100,0.95,0
D2_Bay_15,2025-04-22,0.7709647417068481,0.831,1.97,1.73,20.8,100,0.95,0
D2_Bay_16,2025-04-22,0.6784014105796814,0.719,1.97,1.49,17.9,100,0.95,0
D2_Bay_17,2025-04-22,0.5028671026229858,0.549,1.97,1.14,13.7,100,0.95,0
D2_Bay_18,2025-04-22,0.3226223886013031,0.389,1.97,0.81,9.7,100,0.95,0
D2_Bay_1,2025-04-22,0.6147201061248779,0.657,1.97,1.36,16.3,100,0.95,0
D2_Bay_2,2025-04-22,0.7623990178108215,0.822,1.97,1.71,20.5,100,0.95,0
D2_Bay_3,2025-04-22,0.817844033241272,0.887,1.97,1.84,22.1,100,0.95,0
D2_Bay_4,2025-04-22,0.8201355338096619,0.894,1.97,1.85,22.2,100,0.95,0
D2_Bay_5,2025-04-22,0.8307430148124695,0.943,1.97,1.96,23.5,100,0.95,0
D2_Bay_6,2025-04-22,0.8351916670799255,0.954,1.97,1.98,23.8,100,0.95,0
D2_Bay_7,2025-04-22,0.8406988978385925,0.958,1.97,1.99,23.9,100,0.95,0
D2_Bay_8,2025-04-22,0.8479818105697632,0.963,1.97,2.0,24.0,100,0.95,0
D2_Bay_9,2025-04-22,0.8388388156890869,0.946,1.97,1.96,23.5,100,0.95,0
wash_a,2025-04-22,0.6827206611633301,0.629,1.97,1.65,19.8,100,0.75,0
