block,date,ndvi,kc,eto,irrigation_mm,irrigation_minutes,confidence,efficiency,rain_mm
D2_Bay_10,2025-04-24,0.8357985019683838,0.944,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_11,2025-04-24,0.8378943800926208,0.944,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_12,2025-04-24,0.8455773591995239,0.941,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_13,2025-04-24,0.8323220014572144,0.919,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_14,2025-04-24,0.8162957429885864,0.892,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_15,2025-04-24,0.7709647417068481,0.831,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_16,2025-04-24,0.6784014105796814,0.719,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_17,2025-04-24,0.5028671026229858,0.549,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_18,2025-04-24,0.3226223886013031,0.389,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_1,2025-04-24,0.6147201061248779,0.657,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_2,2025-04-24,0.7623990178108215,0.822,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_3,2025-04-24,0.817844033241272,0.887,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_4,2025-04-24,0.8201355338096619,0.894,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_5,2025-04-24,0.8307430148124695,0.943,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_6,2025-04-24,0.8351916670799255,0.954,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_7,2025-04-24,0.8406988978385925,0.958,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_8,2025-04-24,0.8479818105697632,0.963,3.5,0.0,0.0,100,0.95,4.48
D2_Bay_9,2025-04-24,0.8388388156890869,0.946,3.5,0.0,0.0,100,0.95,4.48
wash_a,2025-04-24,0.6827206611633301,0.629,3.5,0.0,0.0,100,0.75,4.48
