block,date,ndvi,kc,eto,irrigation_mm,irrigation_minutes,confidence,efficiency,rain_mm
D2_Bay_10,2025-05-17,0.8306328654289246,1.038,0.174,0.19,1.1,100,0.95,0
D2_Bay_11,2025-05-17,0.8318719267845154,1.04,0.174,0.19,1.1,100,0.95,0
D2_Bay_12,2025-05-17,0.846813976764679,1.059,0.174,0.19,1.1,100,0.95,0
D2_Bay_13,2025-05-17,0.8391886353492737,1.049,0.174,0.19,1.1,100,0.95,0
D2_Bay_14,2025-05-17,0.8343409299850464,1.043,0.174,0.19,1.1,100,0.95,0
D2_Bay_15,2025-05-17,0.8182224035263062,1.023,0.174,0.19,1.1,100,0.95,0
D2_Bay_16,2025-05-17,0.8064804077148438,1.008,0.174,0.19,1.1,100,0.95,0
D2_Bay_17,2025-05-17,0.7547032237052917,0.943,0.174,0.17,1.0,100,0.95,0
D2_Bay_18,2025-05-17,0.5257593393325806,0.657,0.174,0.12,0.7,100,0.95,0
D2_Bay_1,2025-05-17,0.6437745690345764,0.805,0.174,0.15,0.9,100,0.95,0
D2_Bay_2,2025-05-17,0.7745623588562012,0.968,0.174,0.18,1.1,100,0.95,0
D2_Bay_3,2025-05-17,0.8156793117523193,1.02,0.174,0.19,1.1,100,0.95,0
D2_Bay_4,2025-05-17,0.8179956674575806,1.022,0.174,0.19,1.1,100,0.95,0
D2_Bay_5,2025-05-17,0.8165795207023621,1.021,0.174,0.19,1.1,100,0.95,0
D2_Bay_6,2025-05-17,0.8172376751899719,1.022,0.174,0.19,1.1,100,0.95,0
D2_Bay_7,2025-05-17,0.8253439664840698,1.032,0.174,0.19,1.1,100,0.95,0
D2_Bay_8,2025-05-17,0.8347651362419128,1.043,0.174,0.19,1.1,100,0.95,0
D2_Bay_9,2025-05-17,0.8315490484237671,1.039,0.174,0.19,1.1,100,0.95,0
wash_a,2025-05-17,0.6919206976890564,0.865,0.174,0.16,1.0,100,0.95,0
