block,date,ndvi,kc,eto,irrigation_mm,irrigation_minutes,confidence,efficiency,rain_mm
D2_Bay_10,2025-04-23,0.8357985019683838,0.944,2.11,2.09,25.1,100,0.95,0
D2_Bay_11,2025-04-23,0.8378943800926208,0.944,2.11,2.09,25.1,100,0.95,0
D2_Bay_12,2025-04-23,0.8455773591995239,0.941,2.11,2.09,25.1,100,0.95,0
D2_Bay_13,2025-04-23,0.8323220014572144,0.919,2.11,2.04,24.5,100,0.95,0
D2_Bay_14,2025-04-23,0.8162957429885864,0.892,2.11,1.98,23.8,100,0.95,0
D2_Bay_15,2025-04-23,0.7709647417068481,0.831,2.11,1.84,22.1,100,0.95,0
D2_Bay_16,2025-04-23,0.6784014105796814,0.719,2.11,1.6,19.2,100,0.95,0
D2_Bay_17,2025-04-23,0.5028671026229858,0.549,2.11,1.22,14.6,100,0.95,0
D2_Bay_18,2025-04-23,0.3226223886013031,0.389,2.11,0.86,10.3,100,0.95,0
D2_Bay_1,2025-04-23,0.6147201061248779,0.657,2.11,1.46,17.5,100,0.95,0
D2_Bay_2,2025-04-23,0.7623990178108215,0.822,2.11,1.82,21.8,100,0.95,0
D2_Bay_3,2025-04-23,0.817844033241272,0.887,2.11,1.97,23.6,100,0.95,0
D2_Bay_4,2025-04-23,0.8201355338096619,0.894,2.11,1.99,23.9,100,0.95,0
D2_Bay_5,2025-04-23,0.8307430148124695,0.943,2.11,2.09,25.1,100,0.95,0
D2_Bay_6,2025-04-23,0.8351916670799255,0.954,2.11,2.12,25.4,100,0.95,0
D2_Bay_7,2025-04-23,0.8406988978385925,0.958,2.11,2.13,25.6,100,0.95,0
D2_Bay_8,2025-04-23,0.8479818105697632,0.963,2.11,2.14,25.7,100,0.95,0
D2_Bay_9,2025-04-23,0.8388388156890869,0.946,2.11,2.11,25.3,100,0.95,0
wash_a,2025-04-23,0.6827206611633301,0.629,2.11,1.77,21.2,100,0.75,0
